CPI_type,variable,value
Energy & seasonal food,2010-01-01,5.9
Tobacco,2010-01-01,7.7
"Housing, water, electricity, gas & other fuels",2010-01-01,0.4
"Education, health & social protection 2",2010-01-01,3.9
Energy,2010-01-01,3.0
"Energy, food, alcoholic beverages & tobacco",2010-01-01,2.9
Energy & unprocessed food,2010-01-01,3.0
Seasonal food,2010-01-01,3.2
Energy & seasonal food,2010-01-01,3.0
Tobacco,2010-01-01,3.2
Alcoholic beverages & tobacco,2010-01-01,3.2
"Liquid fuels, vehicle fuels & lubricants",2010-01-01,2.7
"Housing, water, electricity, gas & other fuels",2010-01-01,3.7
"Education, health & social protection",2010-01-01,3.3
CPI (overall index),2011-01-01,4.5
All goods,2011-01-01,4.6
"Food, alcoholic beverages & tobacco",2011-01-01,6.3
Processed food & non-alcoholic beverages,2011-01-01,6.3
Non-processed food,2011-01-01,4.5
Seasonal food,2011-01-01,4.0
Meat,2011-01-01,5.4
Alcoholic beverages & tobacco,2011-01-01,8.7
Industrial goods,2011-01-01,3.9
*Energy,2011-01-01,12.2
"Electricity, gas & miscellaneous energy",2011-01-01,9.1
"Liquid fuels, vehicle fuels & lubricants",2011-01-01,15.2
Non-energy industrial goods,2011-01-01,1.6
Clothing & footwear goods,2011-01-01,2.3
Housing goods,2011-01-01,5.4
Household goods,2011-01-01,5.0
Water supply; materials for maintenance & repair,2011-01-01,6.7
"Medical products, appliances & equipment",2011-01-01,1.7
"Vehicles, spare parts & accessories",2011-01-01,1.1
Recreational goods,2011-01-01,-2.3
Audio-visual goods,2011-01-01,-10.2
Other recreational goods,2011-01-01,0.9
Miscellaneous goods,2011-01-01,3.5
All services,2011-01-01,4.3
Housing services,2011-01-01,2.3
Actual rentals for housing,2011-01-01,2.5
Primary housing services,2011-01-01,1.9
Other housing services,2011-01-01,1.8
Travel & transport services,2011-01-01,9.4
Services for personal transport equipment,2011-01-01,4.4
Transport services,2011-01-01,11.5
Transport insurance,2011-01-01,23.3
Communication,2011-01-01,4.0
Recreational & personal services,2011-01-01,4.2
Package holidays & accommodation,2011-01-01,2.7
Other recreational & personal services,2011-01-01,4.7
Catering services,2011-01-01,4.7
Non-catering recreational & personal services,2011-01-01,4.6
Miscellaneous & other services,2011-01-01,2.0
Miscellaneous services,2011-01-01,0.1
Medical services,2011-01-01,4.7
Education,2011-01-01,5.2
Durables,2011-01-01,-0.1
Semi-durables,2011-01-01,1.6
Non-durables,2011-01-01,4.2
Seasonal food,2011-01-01,4.0
Non-seasonal food,2011-01-01,5.5
"Energy, food, alcoholic beverages & tobacco",2011-01-01,8.4
Energy & unprocessed food,2011-01-01,9.2
Energy & seasonal food,2011-01-01,10.0
Tobacco,2011-01-01,11.0
"Housing, water, electricity, gas & other fuels",2011-01-01,5.5
"Education, health & social protection 2",2011-01-01,4.0
Energy,2011-01-01,3.7
"Energy, food, alcoholic beverages & tobacco",2011-01-01,3.2
Energy & unprocessed food,2011-01-01,3.7
Seasonal food,2011-01-01,4.5
Energy & seasonal food,2011-01-01,3.7
Tobacco,2011-01-01,4.3
Alcoholic beverages & tobacco,2011-01-01,4.3
"Liquid fuels, vehicle fuels & lubricants",2011-01-01,4.0
"Housing, water, electricity, gas & other fuels",2011-01-01,4.3
"Education, health & social protection",2011-01-01,4.5
CPI (overall index),2012-01-01,2.8
All goods,2012-01-01,2.3
"Food, alcoholic beverages & tobacco",2012-01-01,4.0
Processed food & non-alcoholic beverages,2012-01-01,3.0
Non-processed food,2012-01-01,3.5
Seasonal food,2012-01-01,3.2
Meat,2012-01-01,3.7
Alcoholic beverages & tobacco,2012-01-01,6.0
Industrial goods,2012-01-01,1.7
*Energy,2012-01-01,4.9
"Electricity, gas & miscellaneous energy",2012-01-01,8.2
"Liquid fuels, vehicle fuels & lubricants",2012-01-01,2.0
Non-energy industrial goods,2012-01-01,0.7
Clothing & footwear goods,2012-01-01,0.8
Housing goods,2012-01-01,3.2
Household goods,2012-01-01,2.9
Water supply; materials for maintenance & repair,2012-01-01,4.8
"Medical products, appliances & equipment",2012-01-01,1.4
"Vehicles, spare parts & accessories",2012-01-01,-0.5
Recreational goods,2012-01-01,-1.8
Audio-visual goods,2012-01-01,-8.2
Other recreational goods,2012-01-01,0.7
Miscellaneous goods,2012-01-01,2.5
All services,2012-01-01,3.5
Housing services,2012-01-01,2.8
Actual rentals for housing,2012-01-01,3.3
Primary housing services,2012-01-01,1.6
Other housing services,2012-01-01,1.4
Travel & transport services,2012-01-01,4.4
Services for personal transport equipment,2012-01-01,1.3
Transport services,2012-01-01,6.7
Transport insurance,2012-01-01,0.7
Communication,2012-01-01,4.0
Recreational & personal services,2012-01-01,3.0
Package holidays & accommodation,2012-01-01,3.0
Other recreational & personal services,2012-01-01,3.0
Catering services,2012-01-01,3.2
Non-catering recreational & personal services,2012-01-01,2.6
Miscellaneous & other services,2012-01-01,4.0
Miscellaneous services,2012-01-01,2.2
Medical services,2012-01-01,4.2
Education,2012-01-01,8.7
Durables,2012-01-01,-0.9
Semi-durables,2012-01-01,1.1
Non-durables,2012-01-01,2.3
Seasonal food,2012-01-01,3.2
Non-seasonal food,2012-01-01,3.0
"Energy, food, alcoholic beverages & tobacco",2012-01-01,4.3
Energy & unprocessed food,2012-01-01,4.4
Energy & seasonal food,2012-01-01,4.5
Tobacco,2012-01-01,8.5
"Housing, water, electricity, gas & other fuels",2012-01-01,5.0
"Education, health & social protection 2",2012-01-01,4.8
Energy,2012-01-01,2.6
"Energy, food, alcoholic beverages & tobacco",2012-01-01,2.3
Energy & unprocessed food,2012-01-01,2.6
Seasonal food,2012-01-01,2.8
Energy & seasonal food,2012-01-01,2.6
Tobacco,2012-01-01,2.7
Alcoholic beverages & tobacco,2012-01-01,2.7
"Liquid fuels, vehicle fuels & lubricants",2012-01-01,2.9
"Housing, water, electricity, gas & other fuels",2012-01-01,2.5
"Education, health & social protection",2012-01-01,2.7
CPI (overall index),2013-01-01,2.6
All goods,2013-01-01,2.0
"Food, alcoholic beverages & tobacco",2013-01-01,4.5
Processed food & non-alcoholic beverages,2013-01-01,2.5
Non-processed food,2013-01-01,5.4
Seasonal food,2013-01-01,6.5
Meat,2013-01-01,3.9
Alcoholic beverages & tobacco,2013-01-01,6.2
Industrial goods,2013-01-01,1.0
*Energy,2013-01-01,3.4
"Electricity, gas & miscellaneous energy",2013-01-01,7.5
"Liquid fuels, vehicle fuels & lubricants",2013-01-01,-0.9
Non-energy industrial goods,2013-01-01,0.3
Clothing & footwear goods,2013-01-01,0.9
Housing goods,2013-01-01,0.6
Household goods,2013-01-01,0.5
Water supply; materials for maintenance & repair,2013-01-01,0.8
"Medical products, appliances & equipment",2013-01-01,0.3
"Vehicles, spare parts & accessories",2013-01-01,-0.6
Recreational goods,2013-01-01,-0.5
Audio-visual goods,2013-01-01,-5.3
Other recreational goods,2013-01-01,1.4
Miscellaneous goods,2013-01-01,0.9
All services,2013-01-01,3.2
Housing services,2013-01-01,2.1
Actual rentals for housing,2013-01-01,2.5
Primary housing services,2013-01-01,1.3
Other housing services,2013-01-01,1.3
Travel & transport services,2013-01-01,3.2
Services for personal transport equipment,2013-01-01,1.7
Transport services,2013-01-01,5.4
Transport insurance,2013-01-01,-1.6
Communication,2013-01-01,3.0
Recreational & personal services,2013-01-01,2.8
Package holidays & accommodation,2013-01-01,2.7
Other recreational & personal services,2013-01-01,2.8
Catering services,2013-01-01,2.8
Non-catering recreational & personal services,2013-01-01,3.0
Miscellaneous & other services,2013-01-01,5.5
Miscellaneous services,2013-01-01,1.4
Medical services,2013-01-01,3.9
Education,2013-01-01,17.2
Durables,2013-01-01,-1.2
Semi-durables,2013-01-01,1.0
Non-durables,2013-01-01,1.0
Seasonal food,2013-01-01,6.5
Non-seasonal food,2013-01-01,3.1
"Energy, food, alcoholic beverages & tobacco",2013-01-01,4.1
Energy & unprocessed food,2013-01-01,4.0
Energy & seasonal food,2013-01-01,4.1
Tobacco,2013-01-01,7.7
"Housing, water, electricity, gas & other fuels",2013-01-01,4.1
"Education, health & social protection 2",2013-01-01,7.5
Energy,2013-01-01,2.5
"Energy, food, alcoholic beverages & tobacco",2013-01-01,2.1
Energy & unprocessed food,2013-01-01,2.3
Seasonal food,2013-01-01,2.5
Energy & seasonal food,2013-01-01,2.3
Tobacco,2013-01-01,2.4
Alcoholic beverages & tobacco,2013-01-01,2.4
"Liquid fuels, vehicle fuels & lubricants",2013-01-01,2.7
"Housing, water, electricity, gas & other fuels",2013-01-01,2.3
"Education, health & social protection",2013-01-01,2.3
CPI (overall index),2014-01-01,1.5
All goods,2014-01-01,0.6
"Food, alcoholic beverages & tobacco",2014-01-01,1.1
Processed food & non-alcoholic beverages,2014-01-01,0.4
Non-processed food,2014-01-01,-0.9
Seasonal food,2014-01-01,-2.0
Meat,2014-01-01,0.6
Alcoholic beverages & tobacco,2014-01-01,4.5
Industrial goods,2014-01-01,0.4
*Energy,2014-01-01,0.1
"Electricity, gas & miscellaneous energy",2014-01-01,5.1
"Liquid fuels, vehicle fuels & lubricants",2014-01-01,-5.3
Non-energy industrial goods,2014-01-01,0.4
Clothing & footwear goods,2014-01-01,0.5
Housing goods,2014-01-01,0.5
Household goods,2014-01-01,0.6
Water supply; materials for maintenance & repair,2014-01-01,1.3
"Medical products, appliances & equipment",2014-01-01,2.3
"Vehicles, spare parts & accessories",2014-01-01,0.4
Recreational goods,2014-01-01,0.2
Audio-visual goods,2014-01-01,-4.4
Other recreational goods,2014-01-01,1.8
Miscellaneous goods,2014-01-01,-0.5
All services,2014-01-01,2.5
Housing services,2014-01-01,2.3
Actual rentals for housing,2014-01-01,2.3
Primary housing services,2014-01-01,2.4
Other housing services,2014-01-01,2.2
Travel & transport services,2014-01-01,3.2
Services for personal transport equipment,2014-01-01,2.1
Transport services,2014-01-01,4.2
Transport insurance,2014-01-01,2.0
Communication,2014-01-01,1.3
Recreational & personal services,2014-01-01,2.1
Package holidays & accommodation,2014-01-01,1.3
Other recreational & personal services,2014-01-01,2.5
Catering services,2014-01-01,2.4
Non-catering recreational & personal services,2014-01-01,2.6
Miscellaneous & other services,2014-01-01,3.0
Miscellaneous services,2014-01-01,-0.2
Medical services,2014-01-01,3.1
Education,2014-01-01,10.2
Durables,2014-01-01,-0.4
Semi-durables,2014-01-01,0.6
Non-durables,2014-01-01,1.2
Seasonal food,2014-01-01,-2.0
Non-seasonal food,2014-01-01,0.5
"Energy, food, alcoholic beverages & tobacco",2014-01-01,0.8
Energy & unprocessed food,2014-01-01,-0.2
Energy & seasonal food,2014-01-01,-0.4
Tobacco,2014-01-01,7.6
"Housing, water, electricity, gas & other fuels",2014-01-01,3.0
"Education, health & social protection 2",2014-01-01,5.4
Energy,2014-01-01,1.6
"Energy, food, alcoholic beverages & tobacco",2014-01-01,1.6
Energy & unprocessed food,2014-01-01,1.7
Seasonal food,2014-01-01,1.6
Energy & seasonal food,2014-01-01,1.7
Tobacco,2014-01-01,1.3
Alcoholic beverages & tobacco,2014-01-01,1.3
"Liquid fuels, vehicle fuels & lubricants",2014-01-01,1.7
"Housing, water, electricity, gas & other fuels",2014-01-01,1.2
"Education, health & social protection",2014-01-01,1.2
CPI (overall index),2015-01-01,
All goods,2015-01-01,-2.0
"Food, alcoholic beverages & tobacco",2015-01-01,-1.3
Processed food & non-alcoholic beverages,2015-01-01,-2.4
Non-processed food,2015-01-01,-2.8
Seasonal food,2015-01-01,-2.5
Meat,2015-01-01,-3.1
Alcoholic beverages & tobacco,2015-01-01,2.1
Industrial goods,2015-01-01,-2.3
*Energy,2015-01-01,-7.6
"Electricity, gas & miscellaneous energy",2015-01-01,-2.4
"Liquid fuels, vehicle fuels & lubricants",2015-01-01,-13.8
Non-energy industrial goods,2015-01-01,-0.9
Clothing & footwear goods,2015-01-01,0.3
Housing goods,2015-01-01,-0.5
Household goods,2015-01-01,-0.5
Water supply; materials for maintenance & repair,2015-01-01,-0.9
"Medical products, appliances & equipment",2015-01-01,1.5
"Vehicles, spare parts & accessories",2015-01-01,-0.9
Recreational goods,2015-01-01,-2.5
Audio-visual goods,2015-01-01,-9.2
Other recreational goods,2015-01-01,
Miscellaneous goods,2015-01-01,-1.0
All services,2015-01-01,2.4
Housing services,2015-01-01,2.6
Actual rentals for housing,2015-01-01,2.9
Primary housing services,2015-01-01,0.1
Other housing services,2015-01-01,2.7
Travel & transport services,2015-01-01,2.6
Services for personal transport equipment,2015-01-01,1.8
Transport services,2015-01-01,3.4
Transport insurance,2015-01-01,3.0
Communication,2015-01-01,1.4
Recreational & personal services,2015-01-01,1.9
Package holidays & accommodation,2015-01-01,2.0
Other recreational & personal services,2015-01-01,1.9
Catering services,2015-01-01,1.5
Non-catering recreational & personal services,2015-01-01,2.7
Miscellaneous & other services,2015-01-01,3.5
Miscellaneous services,2015-01-01,1.1
Medical services,2015-01-01,2.4
Education,2015-01-01,8.5
Durables,2015-01-01,-2.2
Semi-durables,2015-01-01,-0.2
Non-durables,2015-01-01,-0.2
Seasonal food,2015-01-01,-2.5
Non-seasonal food,2015-01-01,-2.9
"Energy, food, alcoholic beverages & tobacco",2015-01-01,-3.4
Energy & unprocessed food,2015-01-01,-5.7
Energy & seasonal food,2015-01-01,-6.3
Tobacco,2015-01-01,5.6
"Housing, water, electricity, gas & other fuels",2015-01-01,0.5
"Education, health & social protection 2",2015-01-01,4.8
Energy,2015-01-01,0.7
"Energy, food, alcoholic beverages & tobacco",2015-01-01,1.1
Energy & unprocessed food,2015-01-01,0.9
Seasonal food,2015-01-01,0.1
Energy & seasonal food,2015-01-01,0.8
Tobacco,2015-01-01,-0.1
Alcoholic beverages & tobacco,2015-01-01,-0.1
"Liquid fuels, vehicle fuels & lubricants",2015-01-01,0.6
"Housing, water, electricity, gas & other fuels",2015-01-01,
"Education, health & social protection",2015-01-01,-0.3
CPI (overall index),2016-01-01,0.7
All goods,2016-01-01,-1.0
"Food, alcoholic beverages & tobacco",2016-01-01,-1.3
Processed food & non-alcoholic beverages,2016-01-01,-1.9
Non-processed food,2016-01-01,-2.9
Seasonal food,2016-01-01,-1.9
Meat,2016-01-01,-4.1
Alcoholic beverages & tobacco,2016-01-01,1.4
Industrial goods,2016-01-01,-1.0
*Energy,2016-01-01,-2.5
"Electricity, gas & miscellaneous energy",2016-01-01,-2.9
"Liquid fuels, vehicle fuels & lubricants",2016-01-01,-2.6
Non-energy industrial goods,2016-01-01,-0.6
Clothing & footwear goods,2016-01-01,0.1
Housing goods,2016-01-01,-0.6
Household goods,2016-01-01,-0.7
Water supply; materials for maintenance & repair,2016-01-01,0.2
"Medical products, appliances & equipment",2016-01-01,1.2
"Vehicles, spare parts & accessories",2016-01-01,-1.2
Recreational goods,2016-01-01,-0.9
Audio-visual goods,2016-01-01,-5.5
Other recreational goods,2016-01-01,0.6
Miscellaneous goods,2016-01-01,-1.0
All services,2016-01-01,2.6
Housing services,2016-01-01,1.8
Actual rentals for housing,2016-01-01,1.8
Primary housing services,2016-01-01,1.2
Other housing services,2016-01-01,3.2
Travel & transport services,2016-01-01,3.5
Services for personal transport equipment,2016-01-01,2.3
Transport services,2016-01-01,3.7
Transport insurance,2016-01-01,11.9
Communication,2016-01-01,2.7
Recreational & personal services,2016-01-01,2.3
Package holidays & accommodation,2016-01-01,1.3
Other recreational & personal services,2016-01-01,2.6
Catering services,2016-01-01,2.2
Non-catering recreational & personal services,2016-01-01,3.7
Miscellaneous & other services,2016-01-01,2.9
Miscellaneous services,2016-01-01,1.7
Medical services,2016-01-01,2.9
Education,2016-01-01,4.7
Durables,2016-01-01,-1.4
Semi-durables,2016-01-01,-0.2
Non-durables,2016-01-01,-0.1
Seasonal food,2016-01-01,-1.9
Non-seasonal food,2016-01-01,-2.6
"Energy, food, alcoholic beverages & tobacco",2016-01-01,-1.7
Energy & unprocessed food,2016-01-01,-2.7
Energy & seasonal food,2016-01-01,-2.3
Tobacco,2016-01-01,4.9
"Housing, water, electricity, gas & other fuels",2016-01-01,0.2
"Education, health & social protection 2",2016-01-01,3.5
Energy,2016-01-01,0.9
"Energy, food, alcoholic beverages & tobacco",2016-01-01,1.3
Energy & unprocessed food,2016-01-01,1.1
Seasonal food,2016-01-01,0.7
Energy & seasonal food,2016-01-01,1.0
Tobacco,2016-01-01,0.6
Alcoholic beverages & tobacco,2016-01-01,0.6
"Liquid fuels, vehicle fuels & lubricants",2016-01-01,0.8
"Housing, water, electricity, gas & other fuels",2016-01-01,0.7
"Education, health & social protection",2016-01-01,0.5
CPI (overall index),2017-01-01,2.7
All goods,2017-01-01,2.7
"Food, alcoholic beverages & tobacco",2017-01-01,2.8
Processed food & non-alcoholic beverages,2017-01-01,1.8
Non-processed food,2017-01-01,2.7
Seasonal food,2017-01-01,3.4
Meat,2017-01-01,1.8
Alcoholic beverages & tobacco,2017-01-01,4.4
Industrial goods,2017-01-01,2.6
*Energy,2017-01-01,6.0
"Electricity, gas & miscellaneous energy",2017-01-01,3.0
"Liquid fuels, vehicle fuels & lubricants",2017-01-01,8.7
Non-energy industrial goods,2017-01-01,1.9
Clothing & footwear goods,2017-01-01,2.5
Housing goods,2017-01-01,2.4
Household goods,2017-01-01,2.6
Water supply; materials for maintenance & repair,2017-01-01,0.8
"Medical products, appliances & equipment",2017-01-01,1.5
"Vehicles, spare parts & accessories",2017-01-01,1.5
Recreational goods,2017-01-01,1.9
Audio-visual goods,2017-01-01,1.2
Other recreational goods,2017-01-01,2.1
Miscellaneous goods,2017-01-01,0.8
All services,2017-01-01,2.7
Housing services,2017-01-01,1.2
Actual rentals for housing,2017-01-01,1.0
Primary housing services,2017-01-01,1.8
Other housing services,2017-01-01,2.4
Travel & transport services,2017-01-01,5.1
Services for personal transport equipment,2017-01-01,3.3
Transport services,2017-01-01,5.8
Transport insurance,2017-01-01,10.9
Communication,2017-01-01,1.8
Recreational & personal services,2017-01-01,2.7
Package holidays & accommodation,2017-01-01,2.9
Other recreational & personal services,2017-01-01,2.5
Catering services,2017-01-01,2.8
Non-catering recreational & personal services,2017-01-01,1.8
Miscellaneous & other services,2017-01-01,2.2
Miscellaneous services,2017-01-01,0.9
Medical services,2017-01-01,3.6
Education,2017-01-01,3.8
Durables,2017-01-01,2.7
Semi-durables,2017-01-01,1.7
Non-durables,2017-01-01,1.1
Seasonal food,2017-01-01,3.4
Non-seasonal food,2017-01-01,2.1
"Energy, food, alcoholic beverages & tobacco",2017-01-01,3.9
Energy & unprocessed food,2017-01-01,4.6
Energy & seasonal food,2017-01-01,5.3
Tobacco,2017-01-01,5.9
"Housing, water, electricity, gas & other fuels",2017-01-01,1.8
"Education, health & social protection 2",2017-01-01,3.4
Energy,2017-01-01,2.4
"Energy, food, alcoholic beverages & tobacco",2017-01-01,2.4
Energy & unprocessed food,2017-01-01,2.4
Seasonal food,2017-01-01,2.7
Energy & seasonal food,2017-01-01,2.4
Tobacco,2017-01-01,2.6
Alcoholic beverages & tobacco,2017-01-01,2.6
"Liquid fuels, vehicle fuels & lubricants",2017-01-01,2.5
"Housing, water, electricity, gas & other fuels",2017-01-01,2.8
"Education, health & social protection",2017-01-01,2.6
CPI (overall index),2018-01-01,2.5
All goods,2018-01-01,2.5
"Food, alcoholic beverages & tobacco",2018-01-01,2.7
Processed food & non-alcoholic beverages,2018-01-01,2.2
Non-processed food,2018-01-01,1.9
Seasonal food,2018-01-01,2.6
Meat,2018-01-01,1.0
Alcoholic beverages & tobacco,2018-01-01,4.4
Industrial goods,2018-01-01,2.4
*Energy,2018-01-01,6.9
"Electricity, gas & miscellaneous energy",2018-01-01,6.3
"Liquid fuels, vehicle fuels & lubricants",2018-01-01,7.5
Non-energy industrial goods,2018-01-01,1.5
Clothing & footwear goods,2018-01-01,0.8
Housing goods,2018-01-01,1.6
Household goods,2018-01-01,1.5
Water supply; materials for maintenance & repair,2018-01-01,1.9
"Medical products, appliances & equipment",2018-01-01,1.5
"Vehicles, spare parts & accessories",2018-01-01,3.2
Recreational goods,2018-01-01,1.9
Audio-visual goods,2018-01-01,-2.0
Other recreational goods,2018-01-01,2.9
Miscellaneous goods,2018-01-01,-0.4
All services,2018-01-01,2.4
Housing services,2018-01-01,0.9
Actual rentals for housing,2018-01-01,0.5
Primary housing services,2018-01-01,3.0
Other housing services,2018-01-01,2.5
Travel & transport services,2018-01-01,3.7
Services for personal transport equipment,2018-01-01,4.7
Transport services,2018-01-01,3.6
Transport insurance,2018-01-01,-3.9
Communication,2018-01-01,1.0
Recreational & personal services,2018-01-01,3.2
Package holidays & accommodation,2018-01-01,3.8
